codesample_id,standard_id,date,conductivity,total_dissolved_solids_tds,total_suspended_solids_tss,turbidity,hardness,temperature_,colour,salinity,alkalinity_as_caco3,dissolved_oxygen_do,alkalinity_total,alkalinitycarbonate,alkalinitybicarbonate,ph,chloride_cl,free_chlorine,fluoride_f,sulphate_so4,sulphite_h2s,free_cyanide_fcn,total_cyanide_cn_tot,wad_cyanide_cn_wad,ammonium_nh4,ammonia_nnh3,nitrate_no3,nitrite_no2,phosphate_po4,total_nitrogen,aluminium_al,antimony_sb,arsenic_as,barium_ba,boron_b,calcium_ca,cadmium_cd,chromium_cr,chromium_hexavalent_cr6+,cobalt_co,copper_cu,iron_fe,lead_pb,magnesium_mg,manganese_mn,mercury_hg,nickel_ni,selenium_se,silver_ag,sodium_na,zinc_zn,aluminium_tal,arsenic_tas,cadmium_tcd,chromium_hexavalent_tcr6+,chromium_tcr,cobalt_tco,copper_tcu,iron_tfe,lead_tpb,selenium_tse,mercury_thg,nickel_tni,zinc_tzn,bod,cod,oil_and_grease,phenols,surfactant_mbas,benzene_hexa_chloride_bhc,endrin,dichloro_diphenyl_trichloroethane_ddt,fecal_coliform,e_coli,total_coliform_bacteria_
46,3,2012-10-03,253,179,26,-,-,30.1,-,-,-,3.51,109,-,-,7.47,-,-,-,3,-,-,<   0.005,<   0.005,-,-,-,-,-,-,-,<   0.0005,0.0011,-,-,-,-,-,-,-,<   0.005,-,-,-,-,<  0.00005,-,-,-,-,<   0.005,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
46,3,2012-11-01,262,175,13,-,-,32,-,-,-,4.71,117,-,-,7.89,-,-,-,6,-,-,<   0.005,<   0.005,-,-,-,-,-,-,-,<   0.0005,0.001,-,-,-,-,-,-,-,<   0.005,-,-,-,-,0.00005,-,-,-,-,<   0.005,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
46,3,2012-12-03,196,129,17,-,-,23,-,-,-,6.36,87,-,-,7.54,1.1,-,0.14,10,<   0.02,<   0.005,<   0.005,<   0.005,-,<   0.02,0.007,0.002,0.074,-,0.063,<   0.0005,<   0.001,-,-,-,<   0.0001,N/A,<   0.01,<   0.001,<   0.005,0.17,<   0.001,-,0.088,<  0.00005,-,-,<   0.001,-,<   0.005,1,<   0.001,<   0.0001,<   0.01,-,<   0.001,<   0.005,-,<   0.001,<   0.001,<  0.00005,<   0.001,<   0.01,<   2,18,<   5,<   0.001,<   0.01,-,-,-,-,320,>4840
46,3,2013-01-11,311,218,14,-,-,24.3,-,-,-,7.2,81,-,-,7.66,3,-,-,-,-,<   0.005,<   0.005,-,-,-,-,-,-,-,-,<   0.0005,<   0.001,-,-,-,-,-,-,-,<   0.005,-,-,-,-,0.00009,-,-,-,-,<   0.005,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
46,3,2013-02-11,477,334,9,-,-,28.5,-,-,-,6.98,90,-,-,8.02,1,-,-,-,-,<   0.005,<   0.005,<   0.005,-,-,-,-,-,-,-,<   0.0005,<   0.0005,-,-,-,-,-,-,-,<   0.005,-,-,-,-,<  0.00005,-,-,-,-,<   0.005,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
46,3,2013-03-05,471,330,7,-,-,28.3,-,-,-,6.28,102,-,-,7.61,-,-,-,130,-,<   0.005,<   0.005,<   0.005,-,-,-,-,-,-,-,<   0.0005,<   0.0005,-,-,-,-,-,-,-,<   0.005,-,-,-,-,0.00012,-,-,-,-,0.006,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
46,3,2013-04-04,174,122,46,-,-,29.2,-,-,-,6.25,95,-,-,7.79,-,-,-,11,-,<   0.005,<   0.005,<   0.005,-,-,-,-,-,-,-,<   0.0005,0.0005,-,-,-,-,-,-,-,<   0.005,-,-,-,-,<  0.00005,-,-,-,-,<   0.005,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
46,3,2013-05-02,218,153,8,-,-,28.2,-,-,-,6.19,89,-,-,7.41,-,-,-,16,-,<   0.005,<   0.005,<   0.005,-,-,-,-,-,-,-,<   0.0005,0.0007,-,-,-,-,-,-,-,<   0.005,-,-,-,-,<  0.00005,-,-,-,-,<   0.005,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
46,3,2013-06-04,256,179,32,-,-,29.3,-,-,-,6.82,90,-,-,8.19,<   0.5,-,0.14,27,<   0.02,<   0.005,<   0.005,<   0.005,0.05,-,0.052,<   0.001,0.062,-,0.195,<   0.0005,0.0006,-,-,-,<   0.0001,-,<   0.01,<   0.001,<   0.005,0.69,<   0.001,-,0.272,<  0.00005,-,-,<   0.0001,-,0.019,-,-,-,-,-,-,-,-,-,-,-,-,-,<   2,18,<   5,<   0.001,<   0.01,-,-,-,-,980,>4840
46,3,2013-07-03,295,206,42,-,-,27.5,-,-,-,7.04,90,-,-,7.66,-,-,-,36,<   0.02,<   0.005,<   0.005,<   0.005,-,0.02,0.081,0.003,-,-,-,<   0.0005,<   0.0005,-,-,-,<   0.0001,-,-,<   0.001,<   0.005,0.17,<   0.001,-,0.375,<  0.00005,-,<   0.0005,<   0.0001,-,0.007,-,-,-,-,-,-,-,-,-,-,-,-,-,<   2,<  10,-,-,-,-,-,-,-,-,-
